Date,SPY,QQQ,VIG
2007-01-25,3272.786769443628,1232.2008852006256,1204.9372512267146
2007-01-26,3275.264063568902,1229.7445475170389,1203.8350603372237
2007-01-29,3278.3875579833984,1232.7420501708984,1206.5540657043457
2007-01-30,3295.9663006268966,1233.494052617738,1210.5277621444257
2007-01-31,3314.102458157955,1244.4235999488592,1217.0795659134455
2007-02-01,3333.930954038311,1242.4472894386126,1225.5438991053961
2007-02-02,3331.9595020681154,1244.5064641219215,1225.3503559031524
2007-02-05,3337.9440290857747,1245.2686706868553,1224.3183255438635
2007-02-06,3342.412450382253,1244.8963823646773,1227.1789485079353
2007-02-07,3354.8734521781735,1258.1021496835456,1229.9320949392422
2007-02-08,3352.0039860365214,1258.3900929829833,1228.7039206107147
2007-02-09,3319.994085235492,1239.6218183500314,1219.8619242914137
2007-02-12,3318.2233593553246,1238.3768113643455,1220.9173786457832
2007-02-13,3351.2693309783936,1244.50510263443,1230.820746421814
2007-02-14,3362.5846625525446,1261.491263597345,1233.8357032163913
2007-02-15,3359.8354472867504,1266.1552888309961,1233.8918302134698
2007-02-16,3361.2782147589023,1263.070298096587,1233.6783630797436
2007-02-20,3374.047170542064,1274.797461744034,1240.8692426014313
2007-02-21,3369.0869522094727,1277.4039115905762,1235.7641716003418
2007-02-22,3376.7501136526116,1287.7958055019844,1238.1671468248533
2007-02-23,3361.5245104089845,1282.4846814316115,1234.7368363814312
2007-02-26,3351.9163759829244,1273.7426659282064,1235.210137534421
2007-02-27,3218.0714399332646,1220.3144133352907,1194.4154048108612
2007-02-28,3251.0584537882823,1224.2703132765018,1196.6440666562994
2007-03-01,3235.967205510882,1216.5879224608361,1187.7514353390434
2007-03-02,3196.887880510476,1199.4903012060968,1180.5137183130137
2007-03-05,3162.710286096175,1188.7637391241442,1173.332155314245
2007-03-06,3224.6393688828684,1211.441825818416,1188.003269113542
2007-03-07,3222.872917146451,1207.1849361690693,1186.3120142030675
2007-03-08,3242.740386908292,1212.6261829581927,1189.8500664165476
2007-03-09,3253.9997646660777,1215.3590555012925,1195.652660616237
2007-03-12,3260.8258007495897,1224.0257178457105,1197.2698799273348
2007-03-13,3190.6867446899414,1197.6906280517578,1172.6605339050293
2007-03-14,3216.4050560338364,1215.9528507193318,1176.2715125837713
2007-03-15,3226.1590725255664,1215.1449239647482,1182.924101650162
2007-03-16,3222.474967174232,1216.2282169686077,1179.2949083590502
2007-03-19,3262.3056662352756,1229.0941897046287,1190.846354410518
2007-03-20,3284.1826153505826,1239.3938367015508,1200.355720421474
2007-03-21,3334.7101713682932,1261.950020671211,1215.4384855287208
2007-03-22,3316.5686424801534,1251.5245875627588,1210.2005028186686
2007-03-23,3328.479434985289,1250.2130909497646,1217.0132292648777
2007-03-26,3325.073519578087,1255.6934114926844,1216.3488617611583
2007-03-27,3318.1832268820144,1247.283801034675,1208.6434807500918
2007-03-28,3293.530158102134,1233.7704301278718,1201.0605685716582
2007-03-29,3295.518306907121,1234.6271788948652,1202.981166532947
2007-03-30,3298.2088336865418,1234.2405303542037,1203.4854566303547
2007-04-02,3306.4171934127808,1237.6229310035706,1206.6932153701782
2007-04-03,3345.5326036238694,1255.1316221846355,1218.7604111093242
2007-04-04,3345.723056793213,1258.9173030853271,1218.3718299865723
2007-04-05,3354.79558467865,1265.1637482643127,1219.9441504478455
2007-04-09,3357.925009333645,1261.4688694225042,1220.7386579478043
2007-04-10,3363.399815559387,1268.570590019226,1222.6393222808838
2007-04-11,3347.147696499189,1254.2795064641687,1215.208745249547
2007-04-12,3369.640345518739,1267.0734002543468,1222.4599461755133
2007-04-13,3381.442993142642,1268.2925699488842,1224.3164339790237
2007-04-16,3419.733565524308,1282.2566899278172,1241.6144755539135
2007-04-17,3428.8248621199455,1285.1022161162546,1249.4929913599626
2007-04-18,3429.919325736817,1279.6761936642579,1248.3638338281307
2007-04-19,3429.5040181151126,1283.8500959782978,1245.1780323725689
2007-04-20,3460.3175298534916,1290.3751271188958,1260.1275564573007
2007-04-23,3452.4760023111594,1294.313676591235,1256.398302651738
2007-04-24,3453.8763903798535,1300.8605604897311,1255.7236992081162
2007-04-25,3488.2137809103588,1319.2169370688498,1266.1321426788927
2007-04-26,3495.856872745673,1327.4494628445245,1266.5639050228492
2007-04-27,3490.9557342529297,1327.2217254638672,1267.1544761657715
2007-04-30,3467.7306985841133,1312.0037484225759,1265.4118896086584
2007-05-01,3470.877170562744,1308.6970624923706,1263.322172164917
2007-05-02,3491.1878490448,1322.94624710083,1270.310983657837
2007-05-03,3517.4888935647905,1330.5872044575226,1278.6329990007507
2007-05-04,3525.5245184175437,1329.731013435914,1275.8116919390304
2007-05-07,3524.636093012552,1329.1315197982913,1279.069387605632
2007-05-08,3524.729921075632,1333.7844787188806,1278.0914799643506
2007-05-09,3533.2546368886833,1336.236996053427,1282.4471745133924
2007-05-10,3503.149085414334,1320.5491213764617,1271.834438722115
2007-05-11,3527.302012691507,1335.211527178617,1277.4137780298042
2007-05-14,3520.112792493659,1326.277138484089,1275.7989932995697
2007-05-15,3526.3346170938166,1317.976089757416,1275.2266364752431
2007-05-16,3551.5230838608113,1331.2399442889728,1285.5630197461142
2007-05-17,3542.9007232911536,1324.3528351429268,1284.5321655018488
2007-05-18,3573.810384886572,1335.2147641579795,1289.505964407581
2007-05-21,3578.8995088008814,1346.4098551004718,1291.5666996442887
2007-05-22,3577.6892325654044,1348.1615795373218,1292.5993030291284
2007-05-23,3576.552565911261,1341.2544072854216,1292.6996362292848
2007-05-24,3536.2194070534315,1319.097568979647,1279.1746281231026
2007-05-25,3540.3170766578696,1323.4039585799474,1281.8727229623037
2007-05-29,3532.8445084427367,1326.0376711866993,1274.545438526795
2007-05-30,3558.386725356104,1335.5885053777456,1282.3437798318628
2007-05-31,3560.597818872251,1344.0501669970981,1287.8432063576183
2007-06-01,3569.051440741634,1341.44469254055,1289.007322471516
2007-06-04,3578.1710907135275,1348.6651923272293,1295.7208222027111
2007-06-05,3558.079521013424,1346.4221624559723,1285.506929436
2007-06-06,3525.6931046713144,1334.209178056335,1278.6795742291724
2007-06-07,3462.595667029731,1313.7157290224422,1260.2616959405132
2007-06-08,3498.6343284705945,1326.4574630411516,1266.4164251353068
2007-06-11,3506.356475600478,1324.5542549429956,1270.3870395911508
2007-06-12,3469.5880357705755,1317.19147883181,1258.3892145278514
2007-06-13,3527.387562674063,1333.8451948760194,1277.7520405822434
2007-06-14,3561.184938607563,1346.895321378659,1286.7577099704358
2007-06-15,3577.1308565124637,1357.69385721226,1292.6215397614287
2007-06-18,3575.9418755031656,1359.1255250412505,1292.1393100287532
2007-06-19,3583.424959656084,1358.3083587078145,1293.4312109614257
2007-06-20,3517.3178533983883,1339.3011176691507,1276.0502659005579
2007-06-21,3506.6439101211727,1339.9258886124007,1269.140352829476
2007-06-22,3476.835817337036,1328.5122003555298,1258.3137826919556
2007-06-25,3461.1574841997935,1323.2571610926243,1255.3393227506604
2007-06-26,3425.0592005666113,1315.469045748614,1254.2560819027858
2007-06-27,3476.5528061741497,1336.7593069095165,1259.9344359606039
2007-06-28,3481.3918601251207,1338.2348532334436,1264.5364184131613
2007-06-29,3480.428183014592,1339.6712158173614,1257.0698495594115
2007-07-02,3506.5410221237107,1349.7125806884433,1265.8520637448237
2007-07-03,3520.321649440826,1357.9960244095855,1273.371858493585
2007-07-05,3517.1613499638624,1368.0434968802729,1272.0053558314976
2007-07-06,3539.4259583874373,1375.1334874661552,1278.4974048157164
2007-07-09,3538.9631508348975,1374.7193267819239,1281.1190653749509
2007-07-10,3487.508396342688,1362.7745661175722,1264.0086619135109
2007-07-11,3511.590530171001,1371.7997709735646,1269.5723766174924
2007-07-12,3575.7506185761304,1396.2795226966264,1295.9095142052392
2007-07-13,3580.5091433213674,1403.5471048087638,1297.7938981969783
2007-07-16,3584.9577765142894,1404.065213803493,1300.245371727564
2007-07-17,3584.416107582045,1415.2858955794945,1298.2621925765416
2007-07-18,3574.009458054614,1412.0451966198598,1295.7234999197099
2007-07-19,3588.874678848195,1416.6555355333257,1302.7767320420535
2007-07-20,3550.376699643559,1408.195566610113,1283.6863470941316
2007-07-23,3561.2463038829155,1408.758115425153,1292.388336637814
2007-07-24,3495.222286741715,1386.245407490991,1271.646023561494
2007-07-25,3508.692456521094,1390.7123966293875,1279.9646712915273
2007-07-26,3431.453282356262,1381.2412238121033,1253.7456321716309
2007-07-27,3369.1099803338584,1355.3816131281055,1231.9106052088464
2007-07-30,3404.8722929392825,1364.4092916631198,1240.967394778767
2007-07-31,3379.675533366739,1340.9624279274722,1228.3636384749552
2007-08-01,3397.0730718327104,1351.771400652433,1241.4562694117194
2007-08-02,3420.6756894544815,1362.7786421204364,1245.5393581405951
2007-08-03,3337.0728696667356,1338.631564527066,1217.8785667601624
2007-08-06,3393.1037915645575,1354.1993402635853,1248.1398404425272
2007-08-07,3429.5130317290314,1363.8804648117366,1264.3368098436622
2007-08-08,3480.281043564377,1380.0164826120454,1279.305739053787
2007-08-09,3375.508762888494,1347.4326262366085,1248.6708000799263
2007-08-10,3363.3942449541646,1336.7480951934704,1249.811797559465
2007-08-13,3376.503726240713,1346.2041990889702,1243.0142228105105
2007-08-14,3326.403380452539,1323.8986196205951,1222.0378765973146
2007-08-15,3287.0464859338535,1301.275639058731,1208.2578393489966
2007-08-16,3305.737757529685,1286.1786623926018,1214.5925585536024
2007-08-17,3351.14898621288,1304.5571801337646,1234.9855225534266
2007-08-20,3348.3038818705536,1310.2758915409067,1234.980650849233
2007-08-21,3376.6829512327677,1332.624293518369,1240.4838750105991
2007-08-22,3410.3449890187767,1348.228384781978,1253.8603333799256
2007-08-23,3408.769232516497,1345.121131672713,1249.9032709904714
2007-08-24,3448.5773080107756,1363.1731648661662,1263.2000225462252
2007-08-27,3417.5290521434217,1354.5339880807296,1254.6092846489628
2007-08-28,3349.504912684177,1325.0897076847177,1233.889668019081
2007-08-29,3413.161697588861,1362.253468674724,1250.893646282726
2007-08-30,3407.1689576021454,1370.5813647638715,1251.3554306273436
2007-08-31,3433.4547112017462,1382.9605679132947,1260.3757754139078
2007-09-04,3476.525852698891,1409.292095377983,1269.731484063639
2007-09-05,3448.528775362647,1395.9514358423621,1257.6682969295507
2007-09-06,3449.6727036764496,1392.0761774478015,1259.691329698282
2007-09-07,3403.2448715244536,1366.9178644149215,1243.1812057127827
2007-09-10,3396.7204090633895,1366.06736268237,1241.832225267688
2007-09-11,3440.48827576614,1388.4357337440015,1258.6387731292634
2007-09-12,3447.3720958060585,1387.9217349960963,1261.738570462854
2007-09-13,3472.876645473938,1395.2343373642507,1269.3959709100309
2007-09-14,3473.378992308397,1396.6652271499624,1273.2659831063938
2007-09-17,3459.103742263862,1386.7889866770129,1268.573395948828
2007-09-18,3558.5725730747217,1420.791019555356,1302.1824812456325
2007-09-19,3578.4985162573867,1424.0521349007759,1311.4685796941194
2007-09-20,3555.4475135088433,1420.9366730747279,1304.6030368970241
2007-09-21,3547.8124966984615,1424.1376613397006,1300.9885669584037
2007-09-24,3535.9022620761534,1428.4713186929002,1291.5332702733285
2007-09-25,3539.6354598999023,1446.407558441162,1290.9517822265625
2007-09-26,3552.948616278445,1451.2856142388046,1298.6710158640926
2007-09-27,3565.2816797236737,1455.0969379993185,1301.353606889883
2007-09-28,3523.027814419882,1437.9022609997046,1287.7806980854366
2007-10-01,3564.4899828765483,1455.118005159602,1303.1068216668064
