ticker,revenue_year,revenue_month,revenue,avail_date
2882.TW,2020,4,58513130000,2020-05-10
2882.TW,2020,5,52273957000,2020-06-10
2882.TW,2020,6,48078476000,2020-07-10
2882.TW,2020,7,60755428000,2020-08-10
2882.TW,2020,8,56960814000,2020-09-10
2882.TW,2020,9,35012385000,2020-10-10
2882.TW,2020,10,43501365000,2020-11-10
2882.TW,2020,11,49562368000,2020-12-10
2882.TW,2020,12,63104887000,2021-01-10
2882.TW,2021,1,64805645000,2021-02-10
2882.TW,2021,2,44644264000,2021-03-10
2882.TW,2021,3,79927770000,2021-04-10
2882.TW,2021,4,59118746000,2021-05-10
2882.TW,2021,5,38051539000,2021-06-10
2882.TW,2021,6,59171488000,2021-07-10
2882.TW,2021,7,48488824000,2021-08-10
2882.TW,2021,8,46850550000,2021-09-10
2882.TW,2021,9,35945071000,2021-10-10
2882.TW,2021,10,34913693000,2021-11-10
2882.TW,2021,11,42959522000,2021-12-10
2882.TW,2021,12,70658650000,2022-01-10
2882.TW,2022,1,45780117000,2022-02-10
2882.TW,2022,2,35603043000,2022-03-10
2882.TW,2022,3,50651195000,2022-04-10
2882.TW,2022,4,32975411000,2022-05-10
2882.TW,2022,5,25336864000,2022-06-10
2882.TW,2022,6,47307519000,2022-07-10
2882.TW,2022,7,25761482000,2022-08-10
2882.TW,2022,8,26891960000,2022-09-10
2882.TW,2022,9,16126783000,2022-10-10
2882.TW,2022,10,16822289000,2022-11-10
2882.TW,2022,11,1584494000,2022-12-10
2882.TW,2022,12,17233019000,2023-01-10
2882.TW,2023,1,26696044000,2023-02-10
2882.TW,2023,2,13276705000,2023-03-10
2882.TW,2023,3,28317337000,2023-04-10
2882.TW,2023,4,17235352000,2023-05-10
2882.TW,2023,5,29954995000,2023-06-10
2882.TW,2023,6,46817602000,2023-07-10
2882.TW,2023,7,41694789000,2023-08-10
2882.TW,2023,8,24536829000,2023-09-10
2882.TW,2023,9,14132046000,2023-10-10
2882.TW,2023,10,25906940000,2023-11-10
2882.TW,2023,11,9497074000,2023-12-10
2882.TW,2023,12,26418714000,2024-01-10
2882.TW,2024,1,33956720000,2024-02-10
2882.TW,2024,2,38097768000,2024-03-10
2882.TW,2024,3,46125711000,2024-04-10
2882.TW,2024,4,22276977000,2024-05-10
2882.TW,2024,5,21928025000,2024-06-10
2882.TW,2024,6,30535976000,2024-07-10
2882.TW,2024,7,53958453000,2024-08-10
2882.TW,2024,8,21592841000,2024-09-10
2882.TW,2024,9,19530721000,2024-10-10
2882.TW,2024,10,20339672000,2024-11-10
2882.TW,2024,11,25588553000,2024-12-10
2882.TW,2024,12,27660525000,2025-01-10
2882.TW,2025,1,36023562000,2025-02-10
2882.TW,2025,2,37653183000,2025-03-10
2882.TW,2025,3,32059956000,2025-04-10
2882.TW,2025,4,6634755000,2025-05-10
2882.TW,2025,5,19449037000,2025-06-10
2882.TW,2025,6,-1721092000,2025-07-10
2882.TW,2025,7,36892402000,2025-08-10
2882.TW,2025,8,46429024000,2025-09-10
2882.TW,2025,9,34686259000,2025-10-10
2882.TW,2025,10,42272426000,2025-11-10
2882.TW,2025,11,32142794000,2025-12-10
2882.TW,2025,12,26693198000,2026-01-10
2882.TW,2026,1,26002151000,2026-02-10
2882.TW,2026,2,26123903000,2026-03-10
2882.TW,2026,3,19897630000,2026-04-10
2882.TW,2026,4,30515220000,2026-05-10
2882.TW,2026,5,25059074000,2026-06-10
2891.TW,2005,5,1500554000,2005-06-10
2891.TW,2005,6,2474337000,2005-07-10
2891.TW,2005,7,1586939000,2005-08-10
2891.TW,2005,8,1550022000,2005-09-10
2891.TW,2005,9,1448499000,2005-10-10
2891.TW,2005,10,1180726000,2005-11-10
2891.TW,2005,11,948748000,2005-12-10
2891.TW,2005,12,168572000,2006-01-10
2891.TW,2006,1,967422000,2006-02-10
2891.TW,2006,2,1159495000,2006-03-10
2891.TW,2006,3,-1111510000,2006-04-10
2891.TW,2006,4,-802756000,2006-05-10
2891.TW,2006,5,-2113468000,2006-06-10
2891.TW,2006,6,38481000,2006-07-10
2891.TW,2006,7,-449182000,2006-08-10
2891.TW,2006,8,15058000,2006-09-10
2891.TW,2006,9,452983000,2006-10-10
2891.TW,2006,10,336438000,2006-11-10
2891.TW,2006,11,912804000,2006-12-10
2891.TW,2006,12,-8931748000,2007-01-10
2891.TW,2007,1,117488000,2007-02-10
2891.TW,2007,2,1602507000,2007-03-10
2891.TW,2007,3,1192531000,2007-04-10
2891.TW,2007,4,1071959000,2007-05-10
2891.TW,2007,5,840786000,2007-06-10
2891.TW,2007,6,4320600000,2007-07-10
2891.TW,2007,7,2997834000,2007-08-10
2891.TW,2007,8,780721000,2007-09-10
2891.TW,2007,9,1075227000,2007-10-10
2891.TW,2007,10,1702362000,2007-11-10
2891.TW,2007,11,-1014741000,2007-12-10
2891.TW,2007,12,-41060000,2008-01-10
2891.TW,2008,1,1392915000,2008-02-10
2891.TW,2008,2,1992866000,2008-03-10
2891.TW,2008,3,1855351000,2008-04-10
2891.TW,2008,4,2822048000,2008-05-10
2891.TW,2008,5,566819000,2008-06-10
2891.TW,2008,6,788856000,2008-07-10
2891.TW,2008,7,358033000,2008-08-10
2891.TW,2008,8,1480562000,2008-09-10
2891.TW,2008,9,-2127639000,2008-10-10
2891.TW,2008,10,6237746000,2008-11-10
2891.TW,2008,11,618883000,2008-12-10
2891.TW,2008,12,-453734000,2009-01-10
2891.TW,2009,1,1376162000,2009-02-10
2891.TW,2009,2,985457000,2009-03-10
2891.TW,2009,3,1167532000,2009-04-10
2891.TW,2009,4,946274000,2009-05-10
2891.TW,2009,5,86932000,2009-06-10
2891.TW,2009,6,-3923646000,2009-07-10
2891.TW,2009,7,101386000,2009-08-10
2891.TW,2009,8,522223000,2009-09-10
2891.TW,2009,9,310573000,2009-10-10
2891.TW,2009,10,69900000,2009-11-10
2891.TW,2009,11,1702644000,2009-12-10
2891.TW,2009,12,794913000,2010-01-10
2891.TW,2010,1,1403850000,2010-02-10
2891.TW,2010,2,1129387000,2010-03-10
2891.TW,2010,3,1407303000,2010-04-10
2891.TW,2010,4,1629419000,2010-05-10
2891.TW,2010,5,1565122000,2010-06-10
2891.TW,2010,6,703325000,2010-07-10
2891.TW,2010,7,1422751000,2010-08-10
2891.TW,2010,8,1472652000,2010-09-10
2891.TW,2010,9,443052000,2010-10-10
2891.TW,2010,10,1644591000,2010-11-10
2891.TW,2010,11,1307488000,2010-12-10
2891.TW,2010,12,782626000,2011-01-10
2891.TW,2011,1,1195475000,2011-02-10
2891.TW,2011,2,1625276000,2011-03-10
2891.TW,2011,3,2327916000,2011-04-10
2891.TW,2011,4,1736708000,2011-05-10
2891.TW,2011,5,1848224000,2011-06-10
2891.TW,2011,6,2834897000,2011-07-10
2891.TW,2011,7,1684405000,2011-08-10
2891.TW,2011,8,1226771000,2011-09-10
2891.TW,2011,9,574148000,2011-10-10
2891.TW,2011,10,965196000,2011-11-10
2891.TW,2011,11,2376885000,2011-12-10
2891.TW,2011,12,637105000,2012-01-10
2891.TW,2012,1,1682667000,2012-02-10
2891.TW,2012,2,1585149000,2012-03-10
2891.TW,2012,3,2079544000,2012-04-10
2891.TW,2012,4,1635261000,2012-05-10
2891.TW,2012,5,2010352000,2012-06-10
2891.TW,2012,6,2179645000,2012-07-10
2891.TW,2012,7,2037200000,2012-08-10
2891.TW,2012,8,1435739000,2012-09-10
2891.TW,2012,9,1435993000,2012-10-10
2891.TW,2012,10,2107663000,2012-11-10
2891.TW,2012,11,1961050000,2012-12-10
2891.TW,2012,12,1687078000,2013-01-10
2891.TW,2013,1,8912659000,2013-02-10
2891.TW,2013,2,7389361000,2013-03-10
2891.TW,2013,3,8771278000,2013-04-10
2891.TW,2013,4,8465877000,2013-05-10
2891.TW,2013,5,9865102000,2013-06-10
2891.TW,2013,6,9966510000,2013-07-10
2891.TW,2013,7,12271872000,2013-08-10
2891.TW,2013,8,9577537000,2013-09-10
2891.TW,2013,9,9226967000,2013-10-10
2891.TW,2013,10,11074476000,2013-11-10
2891.TW,2013,11,13260765000,2013-12-10
2891.TW,2013,12,18396252000,2014-01-10
2891.TW,2014,1,18360367000,2014-02-10
2891.TW,2014,2,9623785000,2014-03-10
2891.TW,2014,3,11606444000,2014-04-10
2891.TW,2014,4,11131948000,2014-05-10
2891.TW,2014,5,11404922000,2014-06-10
2891.TW,2014,6,29851096000,2014-07-10
2891.TW,2014,7,19228295000,2014-08-10
2891.TW,2014,8,17642988000,2014-09-10
2891.TW,2014,9,23282180000,2014-10-10
2891.TW,2014,10,16450047000,2014-11-10
2891.TW,2014,11,14092839000,2014-12-10
2891.TW,2014,12,18751806000,2015-01-10
2891.TW,2015,1,22349388000,2015-02-10
2891.TW,2015,2,14357811000,2015-03-10
2891.TW,2015,3,17503743000,2015-04-10
2891.TW,2015,4,16117523000,2015-05-10
2891.TW,2015,5,14647723000,2015-06-10
2891.TW,2015,6,15284186000,2015-07-10
2891.TW,2015,7,16015110000,2015-08-10
2891.TW,2015,8,14887271000,2015-09-10
2891.TW,2015,9,17455895000,2015-10-10
2891.TW,2015,10,20097105000,2015-11-10
2891.TW,2015,11,18583052000,2015-12-10
2891.TW,2015,12,28319018000,2016-01-10
2891.TW,2016,1,25493302000,2016-02-10
2891.TW,2016,2,22764917000,2016-03-10
2891.TW,2016,3,27304338000,2016-04-10
2891.TW,2016,4,24744388000,2016-05-10
2891.TW,2016,5,24686019000,2016-06-10
2891.TW,2016,6,25953541000,2016-07-10
2891.TW,2016,7,29739754000,2016-08-10
2891.TW,2016,8,27929478000,2016-09-10
2891.TW,2016,9,26996432000,2016-10-10
2891.TW,2016,10,24763594000,2016-11-10
2891.TW,2016,11,27596680000,2016-12-10
2891.TW,2016,12,31724010000,2017-01-10
2891.TW,2017,1,38258908000,2017-02-10
2891.TW,2017,2,27382541000,2017-03-10
2891.TW,2017,3,28193966000,2017-04-10
2891.TW,2017,4,24172851000,2017-05-10
2891.TW,2017,5,24631757000,2017-06-10
2891.TW,2017,6,26994935000,2017-07-10
2891.TW,2017,7,28853834000,2017-08-10
2891.TW,2017,8,29562030000,2017-09-10
2891.TW,2017,9,30271771000,2017-10-10
2891.TW,2017,10,27481844000,2017-11-10
2891.TW,2017,11,30344751000,2017-12-10
2891.TW,2017,12,33614468000,2018-01-10
2891.TW,2018,1,32448749000,2018-02-10
2891.TW,2018,2,19883944000,2018-03-10
2891.TW,2018,3,23776802000,2018-04-10
2891.TW,2018,4,21909860000,2018-05-10
2891.TW,2018,5,23499850000,2018-06-10
2891.TW,2018,6,23597474000,2018-07-10
2891.TW,2018,7,27956919000,2018-08-10
2891.TW,2018,8,29688691000,2018-09-10
2891.TW,2018,9,26617073000,2018-10-10
2891.TW,2018,10,24216509000,2018-11-10
2891.TW,2018,11,28544497000,2018-12-10
2891.TW,2018,12,32210898000,2019-01-10
2891.TW,2019,1,32232285000,2019-02-10
2891.TW,2019,2,24237554000,2019-03-10
2891.TW,2019,3,23930085000,2019-04-10
2891.TW,2019,4,21299701000,2019-05-10
2891.TW,2019,5,16811770000,2019-06-10
2891.TW,2019,6,10267443000,2019-07-10
2891.TW,2019,7,24794809000,2019-08-10
2891.TW,2019,8,23403601000,2019-09-10
2891.TW,2019,9,21417431000,2019-10-10
2891.TW,2019,10,21433421000,2019-11-10
2891.TW,2019,11,22270811000,2019-12-10
2891.TW,2019,12,22618828000,2020-01-10
2891.TW,2020,1,27536085000,2020-02-10
2891.TW,2020,2,22321250000,2020-03-10
2891.TW,2020,3,12994918000,2020-04-10
2891.TW,2020,4,18726088000,2020-05-10
2891.TW,2020,5,14109423000,2020-06-10
2891.TW,2020,6,14887451000,2020-07-10
2891.TW,2020,7,21587335000,2020-08-10
2891.TW,2020,8,15033395000,2020-09-10
2891.TW,2020,9,13092416000,2020-10-10
2891.TW,2020,10,13071852000,2020-11-10
2891.TW,2020,11,13008147000,2020-12-10
2891.TW,2020,12,8002400000,2021-01-10
2891.TW,2021,1,21706979000,2021-02-10
2891.TW,2021,2,13199214000,2021-03-10
2891.TW,2021,3,12682045000,2021-04-10
2891.TW,2021,4,12323459000,2021-05-10
2891.TW,2021,5,11313211000,2021-06-10
2891.TW,2021,6,14359880000,2021-07-10
2891.TW,2021,7,15537158000,2021-08-10
2891.TW,2021,8,18591277000,2021-09-10
2891.TW,2021,9,16677331000,2021-10-10
2891.TW,2021,10,16646756000,2021-11-10
2891.TW,2021,11,16520366000,2021-12-10
2891.TW,2021,12,16500149000,2022-01-10
2891.TW,2022,1,24174760000,2022-02-10
2891.TW,2022,2,17116897000,2022-03-10
2891.TW,2022,3,16276440000,2022-04-10
2891.TW,2022,4,15403028000,2022-05-10
2891.TW,2022,5,11386911000,2022-06-10
2891.TW,2022,6,16494110000,2022-07-10
2891.TW,2022,7,15576298000,2022-08-10
2891.TW,2022,8,11158103000,2022-09-10
2891.TW,2022,9,9171155000,2022-10-10
2891.TW,2022,10,3374417000,2022-11-10
2891.TW,2022,11,-2440518000,2022-12-10
2891.TW,2022,12,1625695000,2023-01-10
2891.TW,2023,1,8220375000,2023-02-10
2891.TW,2023,2,7601957000,2023-03-10
2891.TW,2023,3,7715775000,2023-04-10
2891.TW,2023,4,11214592000,2023-05-10
2891.TW,2023,5,9989261000,2023-06-10
2891.TW,2023,6,17748261000,2023-07-10
2891.TW,2023,7,18037055000,2023-08-10
2891.TW,2023,8,13503419000,2023-09-10
2891.TW,2023,9,12852866000,2023-10-10
2891.TW,2023,10,11787572000,2023-11-10
2891.TW,2023,11,8149823000,2023-12-10
2891.TW,2023,12,9755268000,2024-01-10
2891.TW,2024,1,19677095000,2024-02-10
2891.TW,2024,2,14962690000,2024-03-10
2891.TW,2024,3,13873120000,2024-04-10
2891.TW,2024,4,13214870000,2024-05-10
2891.TW,2024,5,12471757000,2024-06-10
2891.TW,2024,6,16886459000,2024-07-10
2891.TW,2024,7,22388946000,2024-08-10
2891.TW,2024,8,11506752000,2024-09-10
2891.TW,2024,9,16301304000,2024-10-10
2891.TW,2024,10,15894438000,2024-11-10
2891.TW,2024,11,16378654000,2024-12-10
2891.TW,2024,12,15853491000,2025-01-10
2891.TW,2025,1,21736320000,2025-02-10
2891.TW,2025,2,20663628000,2025-03-10
2891.TW,2025,3,19051880000,2025-04-10
2891.TW,2025,4,10151417000,2025-05-10
2891.TW,2025,5,10914486000,2025-06-10
2891.TW,2025,6,26892657000,2025-07-10
2891.TW,2025,7,10546858000,2025-08-10
2891.TW,2025,8,25028996000,2025-09-10
2891.TW,2025,9,28972659000,2025-10-10
2891.TW,2025,10,24208396000,2025-11-10
2891.TW,2025,11,23881840000,2025-12-10
2891.TW,2025,12,22845536000,2026-01-10
2891.TW,2026,1,25856645000,2026-02-10
2891.TW,2026,2,20907830000,2026-03-10
2891.TW,2026,3,13095003000,2026-04-10
2891.TW,2026,4,19691968000,2026-05-10
2891.TW,2026,5,19217919000,2026-06-10
2886.TW,2005,5,1512311000,2005-06-10
2886.TW,2005,6,2236536000,2005-07-10
2886.TW,2005,7,1995555000,2005-08-10
2886.TW,2005,8,1668223000,2005-09-10
2886.TW,2005,9,1994162000,2005-10-10
2886.TW,2005,10,1875063000,2005-11-10
2886.TW,2005,11,2646407000,2005-12-10
2886.TW,2005,12,2193672000,2006-01-10
2886.TW,2006,1,1910772000,2006-02-10
2886.TW,2006,2,1779265000,2006-03-10
2886.TW,2006,3,2870304000,2006-04-10
2886.TW,2006,4,416769000,2006-05-10
2886.TW,2006,5,1666105000,2006-06-10
2886.TW,2006,6,1486788000,2006-07-10
2886.TW,2006,7,1806128000,2006-08-10
2886.TW,2006,8,1432731000,2006-09-10
2886.TW,2006,9,1406088000,2006-10-10
2886.TW,2006,10,1102961000,2006-11-10
2886.TW,2006,11,1005441000,2006-12-10
2886.TW,2006,12,1398849000,2007-01-10
2886.TW,2007,1,1135065000,2007-02-10
2886.TW,2007,2,1394230000,2007-03-10
2886.TW,2007,3,1358357000,2007-04-10
2886.TW,2007,4,1030185000,2007-05-10
2886.TW,2007,5,1640795000,2007-06-10
2886.TW,2007,6,2424204000,2007-07-10
2886.TW,2007,7,2430575000,2007-08-10
2886.TW,2007,8,1102324000,2007-09-10
2886.TW,2007,9,1269578000,2007-10-10
2886.TW,2007,10,1359848000,2007-11-10
2886.TW,2007,11,1556840000,2007-12-10
2886.TW,2007,12,1608088000,2008-01-10
2886.TW,2008,1,-2325456000,2008-02-10
2886.TW,2008,2,1790262000,2008-03-10
2886.TW,2008,3,1827787000,2008-04-10
2886.TW,2008,4,1939868000,2008-05-10
2886.TW,2008,5,1289505000,2008-06-10
2886.TW,2008,6,398720000,2008-07-10
2886.TW,2008,7,-1201731000,2008-08-10
2886.TW,2008,8,1672015000,2008-09-10
2886.TW,2008,9,-7356873000,2008-10-10
2886.TW,2008,10,1861383000,2008-11-10
2886.TW,2008,11,722265000,2008-12-10
2886.TW,2008,12,656308000,2009-01-10
2886.TW,2009,1,1295951000,2009-02-10
2886.TW,2009,2,1334086000,2009-03-10
2886.TW,2009,3,1205646000,2009-04-10
2886.TW,2009,4,1423472000,2009-05-10
2886.TW,2009,5,2001192000,2009-06-10
2886.TW,2009,6,1288808000,2009-07-10
2886.TW,2009,7,1526656000,2009-08-10
2886.TW,2009,8,1249457000,2009-09-10
2886.TW,2009,9,851028000,2009-10-10
2886.TW,2009,10,951038000,2009-11-10
2886.TW,2009,11,865905000,2009-12-10
2886.TW,2009,12,1169078000,2010-01-10
2886.TW,2010,1,1445017000,2010-02-10
2886.TW,2010,2,1301229000,2010-03-10
2886.TW,2010,3,1417474000,2010-04-10
2886.TW,2010,4,1403796000,2010-05-10
2886.TW,2010,5,979491000,2010-06-10
2886.TW,2010,6,1713784000,2010-07-10
2886.TW,2010,7,1538168000,2010-08-10
2886.TW,2010,8,1343370000,2010-09-10
2886.TW,2010,9,1414915000,2010-10-10
2886.TW,2010,10,1328855000,2010-11-10
2886.TW,2010,11,1290325000,2010-12-10
2886.TW,2010,12,1354913000,2011-01-10
2886.TW,2011,1,1818926000,2011-02-10
2886.TW,2011,2,1350574000,2011-03-10
2886.TW,2011,3,1978400000,2011-04-10
2886.TW,2011,4,1696415000,2011-05-10
2886.TW,2011,5,1536538000,2011-06-10
2886.TW,2011,6,1892117000,2011-07-10
2886.TW,2011,7,2129042000,2011-08-10
2886.TW,2011,8,1279699000,2011-09-10
2886.TW,2011,9,1340742000,2011-10-10
2886.TW,2011,10,1342958000,2011-11-10
2886.TW,2011,11,1046862000,2011-12-10
2886.TW,2011,12,754661000,2012-01-10
2886.TW,2012,1,2005831000,2012-02-10
2886.TW,2012,2,2472130000,2012-03-10
2886.TW,2012,3,2370051000,2012-04-10
2886.TW,2012,4,1981597000,2012-05-10
2886.TW,2012,5,2569891000,2012-06-10
2886.TW,2012,6,2140474000,2012-07-10
2886.TW,2012,7,1893801000,2012-08-10
2886.TW,2012,8,1663244000,2012-09-10
2886.TW,2012,9,1624410000,2012-10-10
2886.TW,2012,10,1508747000,2012-11-10
2886.TW,2012,11,1490596000,2012-12-10
2886.TW,2012,12,920886000,2013-01-10
2886.TW,2013,1,4874035000,2013-02-10
2886.TW,2013,2,3955906000,2013-03-10
2886.TW,2013,3,4347196000,2013-04-10
2886.TW,2013,4,4138847000,2013-05-10
2886.TW,2013,5,4994138000,2013-06-10
2886.TW,2013,6,4078302000,2013-07-10
2886.TW,2013,7,5631591000,2013-08-10
2886.TW,2013,8,4150511000,2013-09-10
2886.TW,2013,9,4216848000,2013-10-10
2886.TW,2013,10,5135244000,2013-11-10
2886.TW,2013,11,4135173000,2013-12-10
2886.TW,2013,12,5291659000,2014-01-10
