GrossProfit,IncomeAfterTaxes,Revenue,ticker,qend,avail_date
1907990000.0,,31251905000.0,2609.TW,2007-09-30,2007-11-14
3038431000.0,,31324062000.0,2609.TW,2007-12-31,2008-03-31
-94446000.0,,28549512000.0,2609.TW,2008-03-31,2008-05-15
1084415000.0,,29526054000.0,2609.TW,2008-06-30,2008-08-14
465893000.0,,31873986000.0,2609.TW,2008-09-30,2008-11-14
-580548000.0,,27184089000.0,2609.TW,2008-12-31,2009-03-31
-2997697000.0,,17850597000.0,2609.TW,2009-03-31,2009-05-15
-4482964000.0,,17133166000.0,2609.TW,2009-06-30,2009-08-14
-4392977000.0,,18784041000.0,2609.TW,2009-09-30,2009-11-14
-3972032000.0,,20735393000.0,2609.TW,2009-12-31,2010-03-31
-68215000.0,,21835206000.0,2609.TW,2010-03-31,2010-05-15
3815336000.0,,26552127000.0,2609.TW,2010-06-30,2010-08-14
7564051000.0,,34366215000.0,2609.TW,2010-09-30,2010-11-14
3937145000.0,,29165337000.0,2609.TW,2010-12-31,2011-03-31
-123848000.0,,22939783000.0,2609.TW,2011-03-31,2011-05-15
-2319393000.0,,25103543000.0,2609.TW,2011-06-30,2011-08-14
-2489210000.0,,25431803000.0,2609.TW,2011-09-30,2011-11-14
-4565751000.0,,24554078000.0,2609.TW,2011-12-31,2012-03-31
-5957446000.0,,21287998000.0,2609.TW,2012-03-31,2012-05-15
-818435000.0,,27567249000.0,2609.TW,2012-06-30,2012-08-14
2477357000.0,,31100544000.0,2609.TW,2012-09-30,2012-11-14
827944000.0,,29941814000.0,2609.TW,2012-12-31,2013-03-31
-1448039000.0,-2684641000.0,27461980000.0,2609.TW,2013-03-31,2013-05-15
-971108000.0,-2613748000.0,29926232000.0,2609.TW,2013-06-30,2013-08-14
578326000.0,1069933000.0,32060605000.0,2609.TW,2013-09-30,2013-11-14
-2289456000.0,1318546000.0,29425143000.0,2609.TW,2013-12-31,2014-03-31
99011000.0,-1540870000.0,28241436000.0,2609.TW,2014-03-31,2014-05-15
823345000.0,237761000.0,34285724000.0,2609.TW,2014-06-30,2014-08-14
3140453000.0,1448685000.0,37311874000.0,2609.TW,2014-09-30,2014-11-14
1682686000.0,381767000.0,34938824000.0,2609.TW,2014-12-31,2015-03-31
1890332000.0,238689000.0,33154718000.0,2609.TW,2015-03-31,2015-05-15
1361171000.0,-26021000.0,32589437000.0,2609.TW,2015-06-30,2015-08-14
-2110981000.0,-4208248000.0,31903399000.0,2609.TW,2015-09-30,2015-11-14
-1931915000.0,-3792911000.0,29911870000.0,2609.TW,2015-12-31,2016-03-31
-2103326000.0,-3661306000.0,27120874000.0,2609.TW,2016-03-31,2016-05-15
-3229098000.0,-4789244000.0,27771367000.0,2609.TW,2016-06-30,2016-08-14
-3238266000.0,-4529624000.0,28995500000.0,2609.TW,2016-09-30,2016-11-14
-493069000.0,-1909325000.0,31512409000.0,2609.TW,2016-12-31,2017-03-31
181716000.0,-875277000.0,30254854000.0,2609.TW,2017-03-31,2017-05-15
1612896000.0,-407173000.0,33227692000.0,2609.TW,2017-06-30,2017-08-14
3022386000.0,1343664000.0,35780550000.0,2609.TW,2017-09-30,2017-11-14
1678227000.0,430652000.0,31814716000.0,2609.TW,2017-12-31,2018-03-31
-736997000.0,-1880121000.0,31034874000.0,2609.TW,2018-03-31,2018-05-15
-2031912000.0,-3727305000.0,33599210000.0,2609.TW,2018-06-30,2018-08-14
789521000.0,-804006000.0,38715201000.0,2609.TW,2018-09-30,2018-11-14
2021611000.0,105076000.0,38483644000.0,2609.TW,2018-12-31,2019-03-31
1553979000.0,-612926000.0,35076481000.0,2609.TW,2019-03-31,2019-05-15
1158026000.0,-1175530000.0,40398532000.0,2609.TW,2019-06-30,2019-08-14
2226713000.0,-1294246000.0,37784598000.0,2609.TW,2019-09-30,2019-11-14
1136048000.0,-915194000.0,35921651000.0,2609.TW,2019-12-31,2020-03-31
1645153000.0,-755335000.0,34642179000.0,2609.TW,2020-03-31,2020-05-15
2090461000.0,-22790000.0,31750285000.0,2609.TW,2020-06-30,2020-08-14
5687388000.0,2818557000.0,38854605000.0,2609.TW,2020-09-30,2020-11-14
16661314000.0,10146356000.0,46029614000.0,2609.TW,2020-12-31,2021-03-31
31730626000.0,24586944000.0,62282455000.0,2609.TW,2021-03-31,2021-05-15
44086932000.0,34618765000.0,73271250000.0,2609.TW,2021-06-30,2021-08-14
64765213000.0,50894352000.0,95452440000.0,2609.TW,2021-09-30,2021-11-14
72548289000.0,55501820000.0,102681250000.0,2609.TW,2021-12-31,2022-03-31
75315072000.0,60682493000.0,106704172000.0,2609.TW,2022-03-31,2022-05-15
72472950000.0,55641459000.0,109447578000.0,2609.TW,2022-06-30,2022-08-14
60257175000.0,49869981000.0,99812731000.0,2609.TW,2022-09-30,2022-11-14
22124922000.0,14821636000.0,59935393000.0,2609.TW,2022-12-31,2023-03-31
3416527000.0,3461700000.0,36953438000.0,2609.TW,2023-03-31,2023-05-15
3550284000.0,-13115000.0,35046373000.0,2609.TW,2023-06-30,2023-08-14
610723000.0,2880087000.0,35901113000.0,2609.TW,2023-09-30,2023-11-14
-1336991000.0,-1251048000.0,32722789000.0,2609.TW,2023-12-31,2024-03-31
10100503000.0,9454263000.0,43801429000.0,2609.TW,2024-03-31,2024-05-15
16615099000.0,13964590000.0,52589220000.0,2609.TW,2024-06-30,2024-08-14
34613870000.0,28439728000.0,72838388000.0,2609.TW,2024-09-30,2024-11-14
16298220000.0,12610780000.0,53476912000.0,2609.TW,2024-12-31,2025-03-31
9559228000.0,7852321000.0,45510342000.0,2609.TW,2025-03-31,2025-05-15
6037304000.0,1038284000.0,38663083000.0,2609.TW,2025-06-30,2025-08-14
6692406000.0,6111967000.0,42092048000.0,2609.TW,2025-09-30,2025-11-14
2115612000.0,2375228000.0,37292622000.0,2609.TW,2025-12-31,2026-03-31
2823780000.0,1497124000.0,38660500000.0,2609.TW,2026-03-31,2026-05-15
1719379000.0,,,1216.TW,2005-03-31,2005-05-15
2243689000.0,,,1216.TW,2005-06-30,2005-08-14
2807527000.0,,,1216.TW,2005-09-30,2005-11-14
2345543000.0,,,1216.TW,2005-12-31,2006-03-31
2175716000.0,,9657045000.0,1216.TW,2006-03-31,2006-05-15
2578251000.0,,10657617000.0,1216.TW,2006-06-30,2006-08-14
2903839000.0,,11914433000.0,1216.TW,2006-09-30,2006-11-14
2313438000.0,,10615554000.0,1216.TW,2006-12-31,2007-03-31
2363640000.0,,10615502000.0,1216.TW,2007-03-31,2007-05-15
2565755000.0,,11449303000.0,1216.TW,2007-06-30,2007-08-14
2829652000.0,,13005168000.0,1216.TW,2007-09-30,2007-11-14
2405835000.0,,10955967000.0,1216.TW,2007-12-31,2008-03-31
2517058000.0,,12247402000.0,1216.TW,2008-03-31,2008-05-15
2584516000.0,,13154300000.0,1216.TW,2008-06-30,2008-08-14
2602346000.0,,13547050000.0,1216.TW,2008-09-30,2008-11-14
1950807000.0,,10496024000.0,1216.TW,2008-12-31,2009-03-31
2510648000.0,,10232314000.0,1216.TW,2009-03-31,2009-05-15
2858648000.0,,11266967000.0,1216.TW,2009-06-30,2009-08-14
3113274000.0,,12470640000.0,1216.TW,2009-09-30,2009-11-14
2343930000.0,,10814151000.0,1216.TW,2009-12-31,2010-03-31
2554420000.0,,10791722000.0,1216.TW,2010-03-31,2010-05-15
2841464000.0,,12097653000.0,1216.TW,2010-06-30,2010-08-14
3398034000.0,,13920959000.0,1216.TW,2010-09-30,2010-11-14
2581661000.0,,12152051000.0,1216.TW,2010-12-31,2011-03-31
2777899000.0,,12311216000.0,1216.TW,2011-03-31,2011-05-15
3080009000.0,,12973529000.0,1216.TW,2011-06-30,2011-08-14
3432891000.0,,14613437000.0,1216.TW,2011-09-30,2011-11-14
2716033000.0,,11931347000.0,1216.TW,2011-12-31,2012-03-31
3046246000.0,,11212653000.0,1216.TW,2012-03-31,2012-05-15
3302852000.0,,11719471000.0,1216.TW,2012-06-30,2012-08-14
