,A_持有0050,B_動能Top5,C_動能+濾網,D_0050均線,C_週一開盤成交,C_最差成交
2021-05-03,143287.53849011252,275709.9385876127,275709.9385876127,143287.53849011252,257632.67004297237,193869.67351770427
2021-05-04,142043.9008405764,259252.1969074674,259252.1969074674,142043.9008405764,242224.99948213558,182284.91975832012
2021-05-05,140696.58800488303,271671.5992779203,271671.5992779203,140696.58800488303,253885.20771310787,191079.51069498088
2021-05-06,141940.22565441916,271620.1167377897,271620.1167377897,141940.22565441916,253945.92523477535,191122.46245431926
2021-05-07,144479.34310131858,281005.8547944128,281005.8547944128,144479.34310131858,262660.85700891475,197687.66655969646
2021-05-10,143494.79776745627,304633.3609093725,304633.3609093725,143494.79776745627,284768.96127084515,214025.1941621896
2021-05-11,138105.67395764182,293126.02534571284,293126.02534571284,138105.67395764182,273818.52684549114,205824.11459904874
2021-05-12,134115.65958386252,266944.26405039424,266944.26405039424,134115.65958386252,249233.077149904,187360.432866871
2021-05-13,132146.55069714377,249367.32882967585,249367.32882967585,132146.55069714377,232754.99554017806,174981.52713948453
2021-05-14,133649.29888134787,240691.22395236796,240691.22395236796,133649.29888134787,224924.7062278154,169104.79948598112
2021-05-17,131110.21787243674,222369.40822894877,222369.40822894877,131110.21787243674,210362.02845210594,155921.52640003417
2021-05-18,137121.15595227072,241371.9606428892,241371.9606428892,137121.15595227072,228372.86754436058,169258.6448044226
2021-05-19,136188.39810925315,257665.51606281108,257665.51606281108,136188.39810925315,243849.5310899691,180647.64882702086
2021-05-20,135255.66759472678,254581.7821989805,254581.7821989805,135255.66759472678,240924.447881885,178453.3483604834
2021-05-21,137172.97077160666,267343.21062479843,267343.21062479843,136644.20572080888,253125.22050685447,187411.64988941405
2021-05-24,136965.6568372805,267802.2443085753,267802.2443085753,136644.20572080888,253685.48568823276,187347.03420661675
2021-05-25,139297.496787842,262494.7142754637,262494.7142754637,136644.20572080888,248674.93546774326,183697.36359428155
2021-05-26,139401.1264265139,270378.1441117369,270378.1441117369,136644.20572080888,256087.11646749912,189049.84392951714
2021-05-27,138416.6084211428,272496.32052622666,272496.32052622666,136644.20572080888,258052.6565218204,190412.15585731255
2021-05-28,140748.4210432131,284259.36629062577,284259.36629062577,136644.20572080888,269430.29501440463,198701.84708808648
2021-05-31,142095.71565991233,283929.6457934944,283929.6457934944,136644.20572080888,269167.58098826424,197322.6338669538
2021-06-01,142717.548148926,295818.6914210884,295818.6914210884,136644.20572080888,280336.35121378914,205409.36745231148
2021-06-02,142717.548148926,301544.1435695259,301544.1435695259,136644.20572080888,285731.3272288801,209365.03947989937
2021-06-03,142613.8911817629,305042.2575908272,305042.2575908272,136644.20572080888,288971.26970706,211640.29747931953
2021-06-04,141940.22565441916,302568.347793561,302568.347793561,136644.20572080888,286670.1062568189,209960.5579964399
2021-06-07,142303.0022657473,293719.1079826174,293719.1079826174,136644.20572080888,278436.391273396,203353.51672526042
2021-06-08,141473.87406140158,300616.64694974996,300616.64694974996,136644.20572080888,284926.2697924542,208096.80630274455
2021-06-09,140437.53212719748,297127.8349952517,297127.8349952517,136644.20572080888,281610.28542317625,205668.29615946452
2021-06-10,142613.8911817629,295782.9408225832,295782.9408225832,136644.20572080888,280366.15847005125,204758.78063746134
2021-06-11,143132.07581311057,303603.8058349275,303603.8058349275,136644.20572080888,287989.42420567747,210319.51128168742
2021-06-15,143909.3709791262,314226.13321033947,314226.13321033947,136644.20572080888,298155.17282338045,216810.89821576144
2021-06-16,143753.8900831301,314100.13701740734,314100.13701740734,136644.20572080888,298039.5822128763,216709.74757336642
2021-06-17,143339.33509045432,320266.72442928783,320266.72442928783,136644.20572080888,303796.55995793245,220708.33048962618
2021-06-18,143028.43706494162,324163.0849984957,324163.0849984957,136527.48046532867,307739.44850773714,223373.84447430636
