Date,SPY_USD
2005-12-21,86.54084777832031
2005-12-22,86.99408721923828
2005-12-23,87.04210662841797
2005-12-27,86.15630340576172
2005-12-28,86.3486099243164
2005-12-29,85.96405029296875
2005-12-30,85.49711608886719
2006-01-03,87.00090789794922
2006-01-04,87.4129409790039
2006-01-05,87.46784973144531
2006-01-06,88.19571685791016
2006-01-09,88.4223403930664
2006-01-10,88.51161193847656
2006-01-11,88.7931137084961
2006-01-12,88.44292449951172
2006-01-13,88.36050415039062
2006-01-17,88.12018585205078
2006-01-18,87.77001190185547
2006-01-19,88.1064453125
2006-01-20,86.49961853027344
2006-01-23,86.80864715576172
2006-01-24,86.8979263305664
2006-01-25,86.97348022460938
2006-01-26,87.45409393310547
2006-01-27,88.264404296875
2006-01-30,88.19571685791016
2006-01-31,87.55027770996094
2006-02-01,88.16141510009766
2006-02-02,87.13827514648438
2006-02-03,86.70561981201172
2006-02-06,86.93223571777344
2006-02-07,86.16316986083984
2006-02-08,86.94598388671875
2006-02-09,86.80179595947266
2006-02-10,86.95972442626953
2006-02-13,86.80179595947266
2006-02-14,87.72190856933594
2006-02-15,88.03089904785156
2006-02-16,88.69011688232422
2006-02-17,88.4498062133789
2006-02-21,88.2300796508789
2006-02-22,88.7656478881836
2006-02-23,88.63520050048828
2006-02-24,88.86180114746094
