Date,SPY,EFA,AGG
2012-05-22,3041.1172757757595,932.8497285567573,2221.2149096619396
2012-05-23,3044.7901763916016,925.8609952926636,2225.3319778442383
2012-05-24,3053.8788424488303,920.6986814961056,2225.786627911657
2012-05-25,3046.0322368006746,918.0777738047618,2230.712921532104
2012-05-29,3087.098582661303,930.9793756427971,2232.5236567609536
2012-05-30,3043.332693029515,909.3070231322599,2240.73394001025
2012-05-31,3048.9451437911193,916.832343167036,2256.49103856468
2012-06-01,2983.1827429957484,896.911847681622,2270.498773642379
2012-06-04,2987.7837877903366,906.2454457622662,2269.7636191179045
2012-06-05,3019.4730557024013,915.5581062901474,2271.897137551685
2012-06-06,3084.225815566373,940.1777481205572,2262.8821422999026
2012-06-07,3072.7008001582,937.4447408487613,2256.5161786891986
2012-06-08,3095.0549943077785,933.7367387134946,2253.988029756787
2012-06-11,3070.1130114589905,929.0340683905815,2266.6205870008853
2012-06-12,3100.2044557370245,942.9277509404928,2260.9988018682925
2012-06-13,3084.5028681357508,936.6499424880021,2269.945460309391
2012-06-14,3117.1993018034846,943.6098115813365,2268.312316982192
2012-06-15,3152.2363938462804,957.9080092868971,2275.897963289288
2012-06-18,3148.856920364822,952.329438053679,2268.4498578174534
2012-06-19,3180.3793106977537,968.4742568562797,2266.559974791744
2012-06-20,3169.9108683574013,972.4411107178166,2259.3088823135768
2012-06-21,3098.7821857542876,946.9871689608663,2262.3612501646567
2012-06-22,3122.6483249907324,955.0711531053821,2259.10405595912
2012-06-25,3080.817383040936,936.2815527262428,2272.3033436628175
2012-06-26,3098.36997215898,943.0396271730569,2271.3735473295674
2012-06-27,3126.3078664257773,951.9422791841498,2272.394718604628
2012-06-28,3113.2197589685675,952.6459572812018,2272.00733023847
2012-06-29,3192.958203925751,987.681720425142,2270.468882536312
2012-07-02,3191.8692126833776,990.8819305283032,2267.2165758980555
2012-07-03,3216.1467565581843,1000.9517885656678,2267.867330932757
2012-07-05,3198.416532207193,983.394747244165,2271.493666733295
2012-07-06,3171.207131694595,975.1142988095235,2275.412703896145
2012-07-09,3171.473807102666,974.2492132065308,2282.9548553127097
2012-07-10,3148.0279047557706,969.0274054250549,2287.0319198942743
2012-07-11,3148.4960895714175,971.9935651005871,2286.8289865441475
2012-07-12,3133.242075860646,962.3030981569318,2290.9171005682438
2012-07-13,3194.3286895751953,978.5583114624023,2297.86376953125
2012-07-16,3182.5502295898623,977.0553612255899,2296.642437447852
2012-07-17,3203.334833493107,979.5010055195162,2295.0565941845707
2012-07-18,3224.907753066509,986.5622003821773,2298.025158547971
2012-07-19,3235.5197963948885,996.3274301653728,2297.717024016136
2012-07-20,3204.8487244641583,972.6433082889489,2300.2249665675918
2012-07-23,3175.6201851928927,953.6105565933576,2304.5775231883745
2012-07-24,3157.8064757270186,946.142565435337,2314.37410683115
2012-07-25,3162.716801099261,952.3753037034512,2318.276667411483
2012-07-26,3217.0294335081417,982.0745630385863,2318.37579671359
2012-07-27,3270.889039603935,1001.114283586794,2307.539364703698
2012-07-30,3265.4503313182795,998.2593774046982,2307.6017882700253
2012-07-31,3242.609644019307,992.1080852729356,2309.8596096545516
2012-08-01,3231.1515284306515,989.6621583087108,2301.037014158981
2012-08-02,3207.769110389927,975.4835652823385,2300.6787881068885
2012-08-03,3272.4821239554876,1009.055705026105,2295.9123200062895
2012-08-06,3270.062589882291,1013.4643266696366,2293.2533777161734
2012-08-07,3293.0595079087943,1024.0045381336022,2291.7151376796537
2012-08-08,3298.15258718736,1023.7535459380888,2289.612141265534
2012-08-09,3302.071950380516,1024.6890488108256,2289.762915447136
2012-08-10,3303.055275546998,1025.0985564101284,2290.3885144799715
2012-08-13,3304.7251213577692,1021.1815507107531,2292.481102781603
2012-08-14,3309.6121851442294,1024.9235814067943,2290.208514575934
2012-08-15,3310.0553718486044,1020.9291885142666,2280.535724883375
2012-08-16,3336.7075817516306,1034.2846693217289,2279.189238518302
2012-08-17,3342.2871488426317,1036.0163362414532,2282.6172366736864
2012-08-20,3342.5240332976537,1034.827798213264,2281.797515852013
2012-08-21,3332.415515081375,1040.7710599865823,2284.8751845437073
2012-08-22,3228.37061236531,1006.6983885670197,2222.1387563349854
2012-08-23,3302.143421349756,1032.2598432889208,2293.3015563574736
2012-08-24,3322.098048857297,1030.6771648212452,2291.6620192924165
2012-08-27,3322.801816717256,1031.2708690509317,2294.735580419947
2012-08-28,3319.515435458161,1030.2816664651618,2296.581087183149
2012-08-29,3322.098048857297,1027.1165378775913,2294.325467805902
2012-08-30,3295.9486259162077,1011.2078457552561,2294.2262836907466
